CLM,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,4026349133,1734762806
I. Tiền và các khoản tương đương tiền,,,76587836,53412424
1. Tiền,,,76587836,53412424
2. Các khoản tương đương tiền,,,,
II. Đầu tư tài chính ngắn hạn,,,,
1. Chứng khoán kinh doanh,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,
III. Các khoản phải thu ngắn hạn,,,1802153708,482671624
1. Phải thu ngắn hạn của khách hàng,,,1789364094,466582020
2. Trả trước cho người bán ngắn hạn,,,11929615,7157687
3. Phải thu nội bộ ngắn hạn,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,
5. Phải thu về cho vay ngắn hạn,,,,
6. Phải thu ngắn hạn khác,,,4831740,12778770
7. Dự phòng phải thu ngắn hạn khó đòi (*),,,-3971741,-3846853
8. Tài sản thiếu chờ xử lý,,,,
IV. Hàng tồn kho,,,2037701059,1196674275
1. Hàng tồn kho,,,2037701059,1196674275
2. Dự phòng giảm giá hàng tồn kho (*),,,,
V. Tài sản ngắn hạn khác,,,109906529,2004483
1. Chi phí trả trước ngắn hạn,,,1491163,1880490
2. Thuế GTGT được khấu trừ,,,108415366,85931
3. Thuế và các khoản khác phải thu của nhà nước,,,,38062
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,
5. Tài sản ngắn hạn khác,,,,
B. TÀI SẢN DÀI HẠN,,,79528655,79955336
I. Các khoản phải thu dài hạn,,,2794471,2794471
1. Phải thu dài hạn của khách hàng,,,,
2. Trả trước cho người bán dài hạn,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,
4. Phải thu nội bộ dài hạn,,,,
5. Phải thu về cho vay dài hạn,,,,
6. Phải thu dài hạn khác,,,2794471,2794471
7. Dự phòng phải thu dài hạn khó đòi (*),,,,
II. Tài sản cố định,,,,
1. Tài sản cố định hữu hình,,,,
- Nguyên giá,,,15446372,15446372
- Giá trị hao mòn lũy kế (*),,,-15446372,-15446372
2. Tài sản cố định thuê tài chính,,,,
- Nguyên giá,,,,
- Giá trị hao mòn lũy kế (*),,,,
3. Tài sản cố định vô hình,,,,
- Nguyên giá,,,,
- Giá trị hao mòn lũy kế (*),,,,
III. Bất động sản đầu tư,,,67708354,66542347
- Nguyên giá,,,134772019,134772019
- Giá trị hao mòn lũy kế (*),,,-67063664,-68229671
IV. Tài sản dở dang dài hạn,,,797639,776042
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,
2. Chi phí xây dựng cơ bản dở dang,,,797639,776042
V. Đầu tư tài chính dài hạn,,,,
1. Đầu tư vào công ty con,,,,
2. Đầu tư vào công ty liên kết. liên doanh,,,,
3. Đầu tư góp vốn vào đơn vị khác,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
6. Đầu tư dài hạn khác,,,,
VI. Tài sản dài hạn khác,,,8228191,9842476
1. Chi phí trả trước dài hạn,,,8228191,9842476
2. Tài sản thuế thu nhập hoãn lại,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
4. Tài sản dài hạn khác,,,,
,,,,
VII. Lợi thế thương mại,,,,
TỔNG CỘNG TÀI SẢN,,,4105877788,1814718142
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,3406587943,1087692684
I. Nợ ngắn hạn,,,3400270811,1081244239
1. Phải trả người bán ngắn hạn,,,1857079669,197878113
2. Người mua trả tiền trước ngắn hạn,,,27109484,40179644
3. Thuế và các khoản phải nộp Nhà nước,,,64994140,15038907
4. Phải trả người lao động,,,16670123,17478025
5. Chi phí phải trả ngắn hạn,,,33674745,16188835
6. Phải trả nội bộ ngắn hạn,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,2806180,1852492
9. Phải trả ngắn hạn khác,,,24664276,56020088
10. Vay và nợ thuê tài chính ngắn hạn,,,1354572473,724265202
11. Dự phòng phải trả ngắn hạn,,,9404216,4391178
"12. Quỹ khen thưởng, phúc lợi",,,9295506,7951756
13. Quỹ bình ổn giá,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
II. Nợ dài hạn,,,6317132,6448445
1. Phải trả người bán dài hạn,,,,
2. Người mua trả tiền trước dài hạn,,,,
3. Chi phí phải trả dài hạn,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,
5. Phải trả nội bộ dài hạn,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,
7. Phải trả dài hạn khác,,,6317132,6448445
8. Vay và nợ thuê tài chính dài hạn,,,,
9. Trái phiếu chuyển đổi,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,
11. Thuế thu nhập hoãn lại phải trả,,,,
12. Dự phòng phải trả dài hạn,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,
14. Dự phòng trợ cấp mất việc làm,,,,
B. VỐN CHỦ SỞ HỮU,,,699289845,727025458
I. Vốn chủ sở hữu,,,699289845,727025458
1. Vốn góp của chủ sở hữu,,,110000000,110000000
- Cổ phiếu phổ thông có quyền biểu quyết,,,110000000,110000000
- Cổ phiếu ưu đãi,,,,
2. Thặng dư vốn cổ phần,,,4122208,4122208
3. Quyền chọn chuyển đổi trái phiếu,,,,
4. Vốn khác của chủ sở hữu,,,6487530,6487530
5. Cổ phiếu quỹ (*),,,,
6. Chênh lệch đánh giá lại tài sản,,,,
7. Chênh lệch tỷ giá hối đoái,,,,
8. Quỹ đầu tư phát triển,,,190188724,190188724
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,388491383,416226995
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,294418892,294418892
- LNST chưa phân phối kỳ này,,,94072491,121808103
12. Nguồn vốn đầu tư XDCB,,,,
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,,
1. Nguồn kinh phí,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,4105877788,1814718142
